Manufacturer,Model,Component ID,Location,System,Part Number,Serial Number,IP Address,Summarize,Optional,Category,Subcategory,Short Description,Long Description,Accounting Estimate Number,Accounting Item Name,Vendor,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Wire Length,Head End,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Order Status,Order Number,Ordered Date,Received Date,Installed,Installed Date,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12,Custom Field 13,Custom Field 14
Crestron,ESSENCE_IC8-W-T,IN--001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,14-Feb,SPE-001,Mn Floor\W. Kitchen,Distributed Audio,PCS- SWIHS14-02-White-150R,,,FALSE,FALSE,Wire and Cable,speaker cable,14/2 High Strand Speaker Cable,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
OTA,Installation - .5Hrs,'001,Mn Floor\W. Kitchen,Distributed Audio,,,,FALSE,FALSE,Labor,,Installation Labour,,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-026,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-027,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-028,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-029,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,ESSENCE_IC8-W-T,IN--026,Bsmt\Bar,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-026,Bsmt\Bar,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,14-Feb,SPE-026,Bsmt\Bar,Distributed Audio,PCS- SWIHS14-02-White-150R,,,FALSE,FALSE,Wire and Cable,speaker cable,14/2 High Strand Speaker Cable,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
OTA,Installation - .5Hrs,'026,Bsmt\Bar,Distributed Audio,,,,FALSE,FALSE,Labor,,Installation Labour,,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-030,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-031,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-032,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-033,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-034,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-035,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-036,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-037,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-038,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-039,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-040,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-041,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-042,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-043,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-044,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-045,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-046,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-047,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-048,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-049,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,ESSENCE_IC8-W-T,IN--027,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-027,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,14-Feb,SPE-027,Mn Floor\Library,Distributed Audio,PCS- SWIHS14-02-White-150R,,,FALSE,FALSE,Wire and Cable,speaker cable,14/2 High Strand Speaker Cable,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
OTA,Installation - .5Hrs,'027,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Labor,,Installation Labour,,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-050,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-051,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-052,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-053,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-054,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-055,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-056,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-057,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-058,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-059,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-060,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-061,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-062,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-063,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-064,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT5E - Direct burial,ROU-065,Unassigned,Automated Blinds,PCS- UTP5ER-Blue-SX300RB,,,FALSE,FALSE,Wire and Cable,Rough In,Direct Burial Cat5e,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,RJ45,RJ45,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-122,Mn Floor\Great Room,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-123,Mn Floor\Great Room,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,1/2'' PVC Conduit,COR-015,Mn Floor\Great Room,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Coraline,1/2'' PVC Conduit,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT6,CAT-291,Mn Floor\Great Room,Fiber Video Distribution,PCS- UTP6R-Yellow-SX300RB,,,FALSE,FALSE,Wire and Cable,CAT6,Cat6e - Yellow,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,150,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
Wire and Cable,CRESFIBER8G-NP,FIB-015,Mn Floor\Great Room,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Fiber,"CresFiber 8G Multimode Fiber Optic Cable, 50/125 x4 breakout, non-plenum",,,,,2.54,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-124,Mn Floor\Library,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-125,Mn Floor\Library,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,1/2'' PVC Conduit,COR-016,Mn Floor\Library,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Coraline,1/2'' PVC Conduit,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT6,CAT-292,Mn Floor\Library,Fiber Video Distribution,PCS- UTP6R-Yellow-SX300RB,,,FALSE,FALSE,Wire and Cable,CAT6,Cat6e - Yellow,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,150,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
Wire and Cable,CRESFIBER8G-NP,FIB-016,Mn Floor\Library,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Fiber,"CresFiber 8G Multimode Fiber Optic Cable, 50/125 x4 breakout, non-plenum",,,,,2.54,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,ESSENCE_IC8-W-T,IN--028,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Speakers,In-Ceiling,"Essence 8'' 2-Way In-Ceiling Speakers, 175w program.  White Textured. Ultimate performance 2-way in-ceiling loudspeakers - Designed by Crestron to please the most ardent listener and the most demanding interior designer - with thoughtful features that simplify installation. (each)",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Crestron,SPKA-NCTP-IC800,ACC-028,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Speakers,Accessory,"New-Construction Speaker Templates for Excite, Aspire, & Essence IC8 & IC8DT, 1 Pair",,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,14-Feb,SPE-028,Mn Floor\Library,Distributed Audio,PCS- SWIHS14-02-White-150R,,,FALSE,FALSE,Wire and Cable,speaker cable,14/2 High Strand Speaker Cable,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
OTA,Installation - .5Hrs,'028,Mn Floor\Library,Distributed Audio,,,,FALSE,FALSE,Labor,,Installation Labour,,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-126,Mn Floor\Office,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-127,Mn Floor\Office,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,1/2'' PVC Conduit,COR-017,Mn Floor\Office,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Coraline,1/2'' PVC Conduit,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT6,CAT-293,Mn Floor\Office,Fiber Video Distribution,PCS- UTP6R-Yellow-SX300RB,,,FALSE,FALSE,Wire and Cable,CAT6,Cat6e - Yellow,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,150,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
Wire and Cable,CRESFIBER8G-NP,FIB-017,Mn Floor\Office,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Fiber,"CresFiber 8G Multimode Fiber Optic Cable, 50/125 x4 breakout, non-plenum",,,,,2.54,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-128,Bsmt\Bar,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-129,Bsmt\Bar,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,1/2'' PVC Conduit,COR-018,Bsmt\Bar,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Coraline,1/2'' PVC Conduit,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
Wire and Cable,CAT6,CAT-294,Bsmt\Bar,Fiber Video Distribution,PCS- UTP6R-Yellow-SX300RB,,,FALSE,FALSE,Wire and Cable,CAT6,Cat6e - Yellow,,,,,0,0,0,0,FALSE,0,0,0,0,0,,TRUE,150,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,
Wire and Cable,CRESFIBER8G-NP,FIB-018,Bsmt\Bar,Fiber Video Distribution,,,,FALSE,FALSE,Wire and Cable,Fiber,"CresFiber 8G Multimode Fiber Optic Cable, 50/125 x4 breakout, non-plenum",,,,,2.54,0,0,0,FALSE,0,0,0,0,0,,TRUE,125,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
A/V Cables,Bulk Fiber Connectors,QUI-130,Mn Floor\Office,Fiber Video Distribution,,,,FALSE,FALSE,Connect Home,Quickport,Bulk Field Installable Fiber Connectors (each),,,,,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,0,,,,,,,,,,,,,,FALSE,,,,,,,0,0,0,,,,,,
